(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
negative regulation of response to extracellular stimulus	GO:0032105	positive regulation of response to extracellular stimulus	GO:0032106
negative regulation of response to food	GO:0032096	positive regulation of response to food	GO:0032097
negative regulation of response to formic acid	GO:1901461	positive regulation of response to formic acid	GO:1901462
negative regulation of response to furfural	GO:1901443	positive regulation of response to furfural	GO:1901444
negative regulation of response to gamma radiation	GO:2001229	positive regulation of response to gamma radiation	GO:2001230
negative regulation of response to interferon-gamma	GO:0060331	positive regulation of response to interferon-gamma	GO:0060332
negative regulation of response to macrophage colony-stimulating factor	GO:1903970	positive regulation of response to macrophage colony-stimulating factor	GO:1903971
negative regulation of response to nutrient levels	GO:0032108	positive regulation of response to nutrient levels	GO:0032109
negative regulation of response to oxidative stress	GO:1902883	positive regulation of response to oxidative stress	GO:1902884
negative regulation of response to propan-1-ol	GO:1901446	positive regulation of response to propan-1-ol	GO:1901447
negative regulation of response to pullulan	GO:1900519	positive regulation of response to pullulan	GO:1900520
negative regulation of response to reactive oxygen species	GO:1901032	positive regulation of response to reactive oxygen species	GO:1901033
negative regulation of response to salt stress	GO:1901001	positive regulation of response to salt stress	GO:1901002
negative regulation of response to stimulus	GO:0048585	positive regulation of response to stimulus	GO:0048584
negative regulation of response to toluene	GO:1901455	positive regulation of response to toluene	GO:1901456
negative regulation of response to tumor cell	GO:0002835	positive regulation of response to tumor cell	GO:0002836
negative regulation of response to water deprivation	GO:0080148	positive regulation of response to water deprivation	GO:1902584
negative regulation of response to wounding	GO:1903035	positive regulation of response to wounding	GO:1903036
negative regulation of retina development in camera-type eye	GO:1902867	positive regulation of retina development in camera-type eye	GO:1902868
negative regulation of retinal cell programmed cell death	GO:0046671	positive regulation of retinal cell programmed cell death	GO:0046670
negative regulation of retinal ganglion cell axon guidance	GO:0090260	positive regulation of retinal ganglion cell axon guidance	GO:1902336
negative regulation of retinoic acid biosynthetic process	GO:1900053	positive regulation of retinoic acid biosynthetic process	GO:1900054
negative regulation of retinoic acid receptor signaling pathway	GO:0048387	positive regulation of retinoic acid receptor signaling pathway	GO:0048386
negative regulation of retrograde axon cargo transport	GO:2001018	positive regulation of retrograde axon cargo transport	GO:2001019
negative regulation of retrograde dense core granule transport	GO:1901955	positive regulation of retrograde dense core granule transport	GO:1901956
negative regulation of retrograde protein transport, er to cytosol	GO:1904153	positive regulation of retrograde protein transport, er to cytosol	GO:1904154
negative regulation of retrograde trans-synaptic signaling by neuropeptide	GO:1905433	positive regulation of retrograde trans-synaptic signaling by neuropeptide	GO:1905434
negative regulation of retrograde transport, endosome to golgi	GO:1905280	positive regulation of retrograde transport, endosome to golgi	GO:1905281
negative regulation of reverse cholesterol transport	GO:1903063	positive regulation of reverse cholesterol transport	GO:1903064
negative regulation of reverse transcription	GO:1900269	positive regulation of reverse transcription	GO:1900270
negative regulation of rho guanyl-nucleotide exchange factor activity	GO:2001107	positive regulation of rho guanyl-nucleotide exchange factor activity	GO:2001108
negative regulation of rho protein signal transduction	GO:0035024	positive regulation of rho protein signal transduction	GO:0035025
negative regulation of ribonucleoprotein complex localization	GO:2000198	positive regulation of ribonucleoprotein complex localization	GO:2000199
negative regulation of ribosomal large subunit export from nucleus	GO:2000204	positive regulation of ribosomal large subunit export from nucleus	GO:2000205
negative regulation of ribosomal protein gene transcription by rna polymerase ii	GO:0010688	positive regulation of ribosomal protein gene transcription by rna polymerase ii	GO:0060963
negative regulation of ribosomal small subunit export from nucleus	GO:2000207	positive regulation of ribosomal small subunit export from nucleus	GO:2000208
negative regulation of ribosomal subunit export from nucleus	GO:2000201	positive regulation of ribosomal subunit export from nucleus	GO:2000202
negative regulation of ribosome biogenesis	GO:0090071	positive regulation of ribosome biogenesis	GO:0090070
negative regulation of rig-i signaling pathway	GO:0039536	positive regulation of rig-i signaling pathway	GO:1900246
negative regulation of rna binding transcription factor activity	GO:1905256	positive regulation of rna binding transcription factor activity	GO:1905257
negative regulation of rna binding	GO:1905215	positive regulation of rna binding	GO:1905216
negative regulation of rna biosynthetic process	GO:1902679	positive regulation of rna biosynthetic process	GO:1902680
negative regulation of rna export from nucleus	GO:0046832	positive regulation of rna export from nucleus	GO:0046833
negative regulation of rna interference	GO:1900369	positive regulation of rna interference	GO:1900370
negative regulation of rna metabolic process	GO:0051253	positive regulation of rna metabolic process	GO:0051254
negative regulation of rna polymerase ii regulatory region sequence-specific dna binding	GO:1903026	positive regulation of rna polymerase ii regulatory region sequence-specific dna binding	GO:1905636
negative regulation of rna polymerase ii transcription preinitiation complex assembly	GO:0017055	positive regulation of rna polymerase ii transcription preinitiation complex assembly	GO:0045899
negative regulation of rna splicing	GO:0033119	positive regulation of rna splicing	GO:0033120
negative regulation of rna-directed 5'-3' rna polymerase activity	GO:1900260	positive regulation of rna-directed 5'-3' rna polymerase activity	GO:1900261
negative regulation of root hair elongation	GO:1902891	positive regulation of root hair elongation	GO:1902892
negative regulation of roundabout signaling pathway	GO:0035387	positive regulation of roundabout signaling pathway	GO:0035388
negative regulation of rrna processing	GO:2000233	positive regulation of rrna processing	GO:2000234
negative regulation of ruffle assembly	GO:1900028	positive regulation of ruffle assembly	GO:1900029
negative regulation of ryanodine-sensitive calcium-release channel activity	GO:0060315	positive regulation of ryanodine-sensitive calcium-release channel activity	GO:0060316
negative regulation of saliva secretion	GO:1905747	positive regulation of saliva secretion	GO:0046878
negative regulation of salivary gland boundary specification	GO:0045705	positive regulation of salivary gland boundary specification	GO:0045706
negative regulation of sarcinapterin biosynthetic process	GO:1900972	positive regulation of sarcinapterin biosynthetic process	GO:1900973
negative regulation of sarcinapterin metabolic process	GO:1900969	positive regulation of sarcinapterin metabolic process	GO:1900970
negative regulation of sarcomere organization	GO:0060299	positive regulation of sarcomere organization	GO:0060298
negative regulation of scf-dependent proteasomal ubiquitin-dependent catabolic process	GO:0062026	positive regulation of scf-dependent proteasomal ubiquitin-dependent catabolic process	GO:0062027
negative regulation of schwann cell chemotaxis	GO:1904267	positive regulation of schwann cell chemotaxis	GO:1904268
negative regulation of schwann cell differentiation	GO:0014039	positive regulation of schwann cell differentiation	GO:0014040
negative regulation of schwann cell migration	GO:1900148	positive regulation of schwann cell migration	GO:1900149
negative regulation of schwann cell proliferation involved in axon regeneration	GO:1905045	positive regulation of schwann cell proliferation involved in axon regeneration	GO:1905046
negative regulation of schwann cell proliferation	GO:0010626	positive regulation of schwann cell proliferation	GO:0010625
negative regulation of sclerotium development	GO:1901923	positive regulation of sclerotium development	GO:1901924
negative regulation of sebum secreting cell proliferation	GO:1904003	positive regulation of sebum secreting cell proliferation	GO:1904004
negative regulation of secondary cell septum biogenesis	GO:1903396	positive regulation of secondary cell septum biogenesis	GO:1903397
negative regulation of secondary cell wall biogenesis	GO:1901347	positive regulation of secondary cell wall biogenesis	GO:1901348
negative regulation of secondary growth	GO:2000604	positive regulation of secondary growth	GO:2000605
negative regulation of secondary metabolite biosynthetic process	GO:1900377	positive regulation of secondary metabolite biosynthetic process	GO:1900378
negative regulation of secretion by cell	GO:1903531	positive regulation of secretion by cell	GO:1903532
negative regulation of secretion of lysosomal enzymes	GO:0090341	positive regulation of secretion of lysosomal enzymes	GO:0090340
negative regulation of secretion	GO:0051048	positive regulation of secretion	GO:0051047
negative regulation of secretory granule organization	GO:1904410	positive regulation of secretory granule organization	GO:1904411
negative regulation of seed dormancy process	GO:1902039	positive regulation of seed dormancy process	GO:1902040
negative regulation of seed germination	GO:0010187	positive regulation of seed germination	GO:0010030
negative regulation of seed maturation	GO:2000692	positive regulation of seed maturation	GO:2000693
negative regulation of selenocysteine incorporation	GO:1904570	positive regulation of selenocysteine incorporation	GO:1904571
negative regulation of selenocysteine insertion sequence binding	GO:1904574	positive regulation of selenocysteine insertion sequence binding	GO:1904575
negative regulation of selenocysteine metabolic process	GO:1905826	positive regulation of selenocysteine metabolic process	GO:1905827
negative regulation of semaphorin-plexin signaling pathway	GO:2001261	positive regulation of semaphorin-plexin signaling pathway	GO:2001262
negative regulation of sensory neuron axon guidance	GO:1905490	positive regulation of sensory neuron axon guidance	GO:1905491
negative regulation of sensory perception of bitter taste	GO:1904661	positive regulation of sensory perception of bitter taste	GO:1904662
negative regulation of sensory perception of pain	GO:1904057	positive regulation of sensory perception of pain	GO:1904058
negative regulation of sensory perception of sweet taste	GO:1904657	positive regulation of sensory perception of sweet taste	GO:1904658
negative regulation of septation initiation signaling	GO:0031030	positive regulation of septation initiation signaling	GO:0031031
negative regulation of septum digestion after cytokinesis	GO:2001042	positive regulation of septum digestion after cytokinesis	GO:2001043
negative regulation of sequestering of calcium ion	GO:0051283	positive regulation of sequestering of calcium ion	GO:0051284
negative regulation of sequestering of triglyceride	GO:0010891	positive regulation of sequestering of triglyceride	GO:0010890
negative regulation of sequestering of zinc ion	GO:0061089	positive regulation of sequestering of zinc ion	GO:0061090
negative regulation of serine c-palmitoyltransferase activity	GO:1904221	positive regulation of serine c-palmitoyltransferase activity	GO:1904222
negative regulation of serine-type endopeptidase activity	GO:1900004	positive regulation of serine-type endopeptidase activity	GO:1900005
negative regulation of serine-type peptidase activity	GO:1902572	positive regulation of serine-type peptidase activity	GO:1902573
negative regulation of serotonin biosynthetic process	GO:1905628	positive regulation of serotonin biosynthetic process	GO:1905629
negative regulation of serotonin secretion	GO:0014063	positive regulation of serotonin secretion	GO:0014064
negative regulation of serotonin uptake	GO:0051612	positive regulation of serotonin uptake	GO:0051613
negative regulation of sevenless signaling pathway	GO:0045873	positive regulation of sevenless signaling pathway	GO:0045874
negative regulation of sexual sporulation resulting in formation of a cellular spore	GO:0043942	positive regulation of sexual sporulation resulting in formation of a cellular spore	GO:0043941
negative regulation of shade avoidance	GO:1902447	positive regulation of shade avoidance	GO:1902448
negative regulation of shell calcification	GO:1905649	positive regulation of shell calcification	GO:1905650
negative regulation of shelterin complex assembly	GO:1904791	positive regulation of shelterin complex assembly	GO:1904792
negative regulation of shoot apical meristem development	GO:1902184	positive regulation of shoot apical meristem development	GO:1902185
negative regulation of short-day photoperiodism, flowering	GO:0048577	positive regulation of short-day photoperiodism, flowering	GO:0048576
negative regulation of short-term neuronal synaptic plasticity	GO:0048174	positive regulation of short-term neuronal synaptic plasticity	GO:0048173
negative regulation of short-term synaptic potentiation	GO:1905513	positive regulation of short-term synaptic potentiation	GO:1905514
negative regulation of siderophore biosynthetic process	GO:1900705	positive regulation of siderophore biosynthetic process	GO:1900706
negative regulation of signal transduction by p53 class mediator	GO:1901797	positive regulation of signal transduction by p53 class mediator	GO:1901798
negative regulation of signal transduction by receptor internalization	GO:0038011	positive regulation of signal transduction by receptor internalization	GO:0038010
negative regulation of signal transduction involved in conjugation with cellular fusion	GO:0060240	positive regulation of signal transduction involved in conjugation with cellular fusion	GO:0060239
negative regulation of signal transduction	GO:0009968	positive regulation of signal transduction	GO:0009967
negative regulation of signaling receptor activity	GO:2000272	positive regulation of signaling receptor activity	GO:2000273
negative regulation of signaling	GO:0023057	positive regulation of signaling	GO:0023056
negative regulation of silent mating-type cassette heterochromatin assembly	GO:0061186	positive regulation of silent mating-type cassette heterochromatin assembly	GO:0090055
negative regulation of single strand break repair	GO:1903517	positive regulation of single strand break repair	GO:1903518
negative regulation of single stranded viral rna replication via double stranded dna intermediate	GO:0045869	positive regulation of single stranded viral rna replication via double stranded dna intermediate	GO:0045870
negative regulation of single-species biofilm formation in or on host organism	GO:1900229	positive regulation of single-species biofilm formation in or on host organism	GO:1900230
negative regulation of single-species biofilm formation on inanimate substrate	GO:1900232	positive regulation of single-species biofilm formation on inanimate substrate	GO:1900233
negative regulation of single-species biofilm formation	GO:1900191	positive regulation of single-species biofilm formation	GO:1900192
negative regulation of single-strand break repair via homologous recombination	GO:1903111	positive regulation of single-strand break repair via homologous recombination	GO:1903112
negative regulation of sister chromatid cohesion	GO:0045875	positive regulation of sister chromatid cohesion	GO:0045876
negative regulation of skeletal muscle acetylcholine-gated channel clustering	GO:1904394	positive regulation of skeletal muscle acetylcholine-gated channel clustering	GO:1904395
negative regulation of skeletal muscle cell differentiation	GO:2001015	positive regulation of skeletal muscle cell differentiation	GO:2001016
negative regulation of skeletal muscle cell proliferation	GO:0014859	positive regulation of skeletal muscle cell proliferation	GO:0014858
negative regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	GO:0014811	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	GO:0014810
negative regulation of skeletal muscle fiber development	GO:0048744	positive regulation of skeletal muscle fiber development	GO:0048743
negative regulation of skeletal muscle fiber differentiation	GO:1902810	positive regulation of skeletal muscle fiber differentiation	GO:1902811
negative regulation of skeletal muscle hypertrophy	GO:1904205	positive regulation of skeletal muscle hypertrophy	GO:1904206
negative regulation of skeletal muscle satellite cell proliferation	GO:1902723	positive regulation of skeletal muscle satellite cell proliferation	GO:1902724
negative regulation of skeletal muscle tissue development	GO:0048642	positive regulation of skeletal muscle tissue development	GO:0048643
negative regulation of skeletal muscle tissue growth	GO:0048632	positive regulation of skeletal muscle tissue growth	GO:0048633
negative regulation of skeletal muscle tissue regeneration	GO:0043417	positive regulation of skeletal muscle tissue regeneration	GO:0043415
negative regulation of smad protein signal transduction	GO:0060392	positive regulation of smad protein signal transduction	GO:0060391
negative regulation of small gtpase binding	GO:1904476	positive regulation of small gtpase binding	GO:1904477
negative regulation of small gtpase mediated signal transduction	GO:0051058	positive regulation of small gtpase mediated signal transduction	GO:0051057
negative regulation of small intestinal transit	GO:0120059	positive regulation of small intestinal transit	GO:0120058
negative regulation of small molecule metabolic process	GO:0062014	positive regulation of small molecule metabolic process	GO:0062013
negative regulation of small rna loading onto risc	GO:0106160	positive regulation of small rna loading onto risc	GO:0106161
negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO:1901621	positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO:1901622
negative regulation of smoothened signaling pathway	GO:0045879	positive regulation of smoothened signaling pathway	GO:0045880
negative regulation of snare complex assembly	GO:0035544	positive regulation of snare complex assembly	GO:0035543
negative regulation of snare complex disassembly	GO:0035541	positive regulation of snare complex disassembly	GO:0035540
negative regulation of snorna metabolic process	GO:1903324	positive regulation of snorna metabolic process	GO:1903325
negative regulation of snorna processing	GO:1902797	positive regulation of snorna processing	GO:1902798
negative regulation of snrna pseudouridine synthesis	GO:1905357	positive regulation of snrna pseudouridine synthesis	GO:1905358
negative regulation of snrna transcription by rna polymerase ii	GO:1905381	positive regulation of snrna transcription by rna polymerase ii	GO:1905382
negative regulation of sodium ion export across plasma membrane	GO:1903277	negative regulation of sodium ion import across plasma membrane	GO:1903783
negative regulation of sodium ion export across plasma membrane	GO:1903277	positive regulation of sodium ion export across plasma membrane	GO:1903278
negative regulation of sodium ion transmembrane transport	GO:1902306	positive regulation of sodium ion transmembrane transport	GO:1902307
negative regulation of sodium ion transmembrane transporter activity	GO:2000650	positive regulation of sodium ion transmembrane transporter activity	GO:2000651
negative regulation of sodium ion transport	GO:0010766	positive regulation of sodium ion transport	GO:0010765
negative regulation of sodium-dependent phosphate transport	GO:2000119	positive regulation of sodium-dependent phosphate transport	GO:2000120
negative regulation of sodium:proton antiporter activity	GO:0032416	positive regulation of sodium:proton antiporter activity	GO:0032417
negative regulation of somatic muscle development	GO:0062225	positive regulation of somatic muscle development	GO:0062224
negative regulation of somatic stem cell division	GO:1904676	positive regulation of somatic stem cell division	GO:1904677
negative regulation of somatic stem cell population maintenance	GO:1904673	positive regulation of somatic stem cell population maintenance	GO:1904674
negative regulation of somatostatin secretion	GO:0090275	positive regulation of somatostatin secretion	GO:0090274
negative regulation of somitomeric trunk muscle development	GO:0014710	positive regulation of somitomeric trunk muscle development	GO:0014709
negative regulation of sorocarp spore cell differentiation	GO:1901262	positive regulation of sorocarp spore cell differentiation	GO:1901263
negative regulation of sorocarp stalk cell differentiation	GO:0031286	positive regulation of sorocarp stalk cell differentiation	GO:0031287
negative regulation of sperm capacitation	GO:1902491	positive regulation of sperm capacitation	GO:1902492
negative regulation of spermatid nuclear differentiation	GO:0045701	positive regulation of spermatid nuclear differentiation	GO:0045702
negative regulation of spermidine biosynthetic process	GO:1901305	positive regulation of spermidine biosynthetic process	GO:1901307
negative regulation of sphingolipid biosynthetic process	GO:0090155	positive regulation of sphingolipid biosynthetic process	GO:0090154
negative regulation of sphingolipid mediated signaling pathway	GO:1902069	positive regulation of sphingolipid mediated signaling pathway	GO:1902070
negative regulation of spinal cord association neuron differentiation	GO:1902830	positive regulation of spinal cord association neuron differentiation	GO:1902831
negative regulation of spindle assembly	GO:1905831	positive regulation of spindle assembly	GO:1905832
negative regulation of spindle checkpoint	GO:0090233	positive regulation of spindle checkpoint	GO:0090232
negative regulation of spontaneous neurotransmitter secretion	GO:1904049	positive regulation of spontaneous neurotransmitter secretion	GO:1904050
negative regulation of sporangiospore formation	GO:0075288	positive regulation of sporangiospore formation	GO:0075287
negative regulation of sporangium development	GO:0075312	positive regulation of sporangium development	GO:0075311
negative regulation of sporangium germination	GO:0075225	positive regulation of sporangium germination	GO:0075224
negative regulation of spore encystment on host	GO:0075217	positive regulation of spore encystment on host	GO:0075216
negative regulation of spore germination	GO:1904360	positive regulation of spore germination	GO:1904361
negative regulation of spore-bearing organ development	GO:0075262	positive regulation of spore-bearing organ development	GO:0075261
negative regulation of sporocarp development involved in sexual reproduction	GO:1902059	positive regulation of sporocarp development involved in sexual reproduction	GO:1902060
negative regulation of sporulation resulting in formation of a cellular spore	GO:0042174	positive regulation of sporulation resulting in formation of a cellular spore	GO:0045881
negative regulation of sporulation	GO:0043939	positive regulation of sporulation	GO:0043938
negative regulation of sprouting angiogenesis	GO:1903671	positive regulation of sprouting angiogenesis	GO:1903672
negative regulation of sprouting of injured axon	GO:0048688	positive regulation of sprouting of injured axon	GO:0048687
negative regulation of srebp signaling pathway	GO:2000639	positive regulation of srebp signaling pathway	GO:2000640
negative regulation of starch catabolic process	GO:2000882	positive regulation of starch catabolic process	GO:2000883
negative regulation of starch metabolic process	GO:2000905	positive regulation of starch metabolic process	GO:2000906
negative regulation of starch utilization system complex assembly	GO:1900513	positive regulation of starch utilization system complex assembly	GO:1900514
negative regulation of stem cell differentiation	GO:2000737	positive regulation of stem cell differentiation	GO:2000738
negative regulation of stem cell population maintenance	GO:1902455	positive regulation of stem cell population maintenance	GO:1902459
negative regulation of stem cell proliferation	GO:2000647	positive regulation of stem cell proliferation	GO:2000648
negative regulation of sterigmatocystin biosynthetic process	GO:1900760	positive regulation of sterigmatocystin biosynthetic process	GO:0010914
negative regulation of steroid biosynthetic process	GO:0010894	positive regulation of steroid biosynthetic process	GO:0010893
negative regulation of steroid hormone biosynthetic process	GO:0090032	positive regulation of steroid hormone biosynthetic process	GO:0090031
negative regulation of steroid hormone secretion	GO:2000832	positive regulation of steroid hormone secretion	GO:2000833
negative regulation of steroid metabolic process	GO:0045939	positive regulation of steroid metabolic process	GO:0045940
negative regulation of sterol biosynthetic process	GO:0106119	positive regulation of sterol biosynthetic process	GO:0106120
negative regulation of sterol regulatory element binding protein cleavage	GO:1901309	positive regulation of sterol regulatory element binding protein cleavage	GO:1901310
negative regulation of sterol transport	GO:0032372	positive regulation of sterol transport	GO:0032373
negative regulation of stomatal complex development	GO:2000122	positive regulation of stomatal complex development	GO:2000123
negative regulation of stomatal opening	GO:1902457	positive regulation of stomatal opening	GO:1902458
negative regulation of store-operated calcium channel activity	GO:1901340	positive regulation of store-operated calcium channel activity	GO:1901341
negative regulation of store-operated calcium entry	GO:0106128	positive regulation of store-operated calcium entry	GO:0106129
negative regulation of strand invasion	GO:0060543	positive regulation of strand invasion	GO:0098530
negative regulation of stress fiber assembly	GO:0051497	positive regulation of stress fiber assembly	GO:0051496
negative regulation of stress granule assembly	GO:0062030	positive regulation of stress granule assembly	GO:0062029
negative regulation of stress response to copper ion	GO:1903854	positive regulation of stress response to copper ion	GO:1903855
negative regulation of stress-activated mapk cascade	GO:0032873	positive regulation of stress-activated mapk cascade	GO:0032874
negative regulation of stress-activated protein kinase signaling cascade	GO:0070303	positive regulation of stress-activated protein kinase signaling cascade	GO:0070304
negative regulation of striated muscle cell apoptotic process	GO:0010664	positive regulation of striated muscle cell apoptotic process	GO:0010663
negative regulation of striated muscle cell differentiation	GO:0051154	positive regulation of striated muscle cell differentiation	GO:0051155
negative regulation of striated muscle contraction	GO:0045988	positive regulation of striated muscle contraction	GO:0045989
negative regulation of striated muscle tissue development	GO:0045843	positive regulation of striated muscle tissue development	GO:0045844
negative regulation of substance p receptor binding	GO:1900266	positive regulation of substance p receptor binding	GO:1900267
negative regulation of substance p secretion, neurotransmission	GO:1904495	positive regulation of substance p secretion, neurotransmission	GO:1904496
negative regulation of substance p secretion	GO:1904459	positive regulation of substance p secretion	GO:1904460
negative regulation of substrate adhesion-dependent cell spreading	GO:1900025	positive regulation of substrate adhesion-dependent cell spreading	GO:1900026
negative regulation of substrate-dependent cell migration, cell attachment to substrate	GO:1904236	positive regulation of substrate-dependent cell migration, cell attachment to substrate	GO:1904237
negative regulation of succinate dehydrogenase activity	GO:1904230	positive regulation of succinate dehydrogenase activity	GO:1904231
negative regulation of sulfur amino acid metabolic process	GO:0031336	positive regulation of sulfur amino acid metabolic process	GO:0031337
negative regulation of sulfur metabolic process	GO:0051175	positive regulation of sulfur metabolic process	GO:0051176
negative regulation of sulfur utilization	GO:0045882	positive regulation of sulfur utilization	GO:0045883
negative regulation of sumo transferase activity	GO:1903183	positive regulation of sumo transferase activity	GO:1903755
negative regulation of superoxide anion generation	GO:0032929	positive regulation of superoxide anion generation	GO:0032930
negative regulation of superoxide dismutase activity	GO:1901670	positive regulation of superoxide dismutase activity	GO:1901671
negative regulation of supramolecular fiber organization	GO:1902904	positive regulation of supramolecular fiber organization	GO:1902905
negative regulation of synapse assembly	GO:0051964	positive regulation of synapse assembly	GO:0051965
negative regulation of synapse maturation	GO:2000297	positive regulation of synapse maturation	GO:0090129
negative regulation of synapse pruning	GO:1905807	positive regulation of synapse pruning	GO:1905808
negative regulation of synapse structural plasticity	GO:0051826	positive regulation of synapse structural plasticity	GO:0051835
negative regulation of synaptic assembly at neuromuscular junction	GO:0045886	positive regulation of synaptic assembly at neuromuscular junction	GO:0045887
negative regulation of synaptic metaplasticity	GO:0031917	positive regulation of synaptic metaplasticity	GO:0031918
negative regulation of synaptic plasticity	GO:0031914	positive regulation of synaptic plasticity	GO:0031915
negative regulation of synaptic transmission, cholinergic	GO:0032223	positive regulation of synaptic transmission, cholinergic	GO:0032224
negative regulation of synaptic transmission, dopaminergic	GO:0032227	positive regulation of synaptic transmission, dopaminergic	GO:0032226
negative regulation of synaptic transmission, gabaergic	GO:0032229	positive regulation of synaptic transmission, gabaergic	GO:0032230
negative regulation of synaptic transmission, glutamatergic	GO:0051967	positive regulation of synaptic transmission, glutamatergic	GO:0051968
negative regulation of synaptic transmission, glycinergic	GO:0060093	positive regulation of synaptic transmission, glycinergic	GO:0060094
negative regulation of synaptic transmission	GO:0050805	positive regulation of synaptic transmission	GO:0050806
negative regulation of synaptic vesicle clustering	GO:2000808	positive regulation of synaptic vesicle clustering	GO:2000809
negative regulation of synaptic vesicle endocytosis	GO:1900243	positive regulation of synaptic vesicle endocytosis	GO:1900244
negative regulation of synaptic vesicle exocytosis	GO:2000301	positive regulation of synaptic vesicle exocytosis	GO:2000302
negative regulation of synaptic vesicle fusion to presynaptic active zone membrane	GO:0031631	positive regulation of synaptic vesicle fusion to presynaptic active zone membrane	GO:0031632
negative regulation of synaptic vesicle lumen acidification	GO:1901547	positive regulation of synaptic vesicle lumen acidification	GO:1901548
negative regulation of synaptic vesicle membrane organization	GO:1901633	positive regulation of synaptic vesicle membrane organization	GO:1901634
negative regulation of synaptic vesicle priming	GO:0010809	positive regulation of synaptic vesicle priming	GO:0010808
negative regulation of synaptic vesicle recycling	GO:1903422	positive regulation of synaptic vesicle recycling	GO:1903423
negative regulation of synaptic vesicle transport	GO:1902804	positive regulation of synaptic vesicle transport	GO:1902805
negative regulation of synaptic vesicle uncoating	GO:1903389	positive regulation of synaptic vesicle uncoating	GO:1903390
negative regulation of syncytial blastoderm mitotic cell cycle	GO:0046003	positive regulation of syncytial blastoderm mitotic cell cycle	GO:0046004
negative regulation of syncytium formation by plasma membrane fusion	GO:0034242	positive regulation of syncytium formation by plasma membrane fusion	GO:0060143
negative regulation of synergid differentiation	GO:0045698	positive regulation of synergid differentiation	GO:0045699
negative regulation of synoviocyte proliferation	GO:1901646	positive regulation of synoviocyte proliferation	GO:1901647
negative regulation of syringal lignin biosynthetic process	GO:1901429	positive regulation of syringal lignin biosynthetic process	GO:1901430
negative regulation of syringal lignin catabolic process	GO:1901470	positive regulation of syringal lignin catabolic process	GO:1901471
negative regulation of systemic acquired resistance	GO:0010113	positive regulation of systemic acquired resistance	GO:1901672
negative regulation of systemic arterial blood pressure	GO:0003085	positive regulation of systemic arterial blood pressure	GO:0003084
negative regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell	GO:2001189	positive regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell	GO:2001190
negative regulation of t cell activation	GO:0050868	positive regulation of t cell activation	GO:0050870
negative regulation of t cell anergy	GO:0002668	positive regulation of t cell anergy	GO:0002669
negative regulation of t cell antigen processing and presentation	GO:0002626	positive regulation of t cell antigen processing and presentation	GO:0002627
negative regulation of t cell apoptotic process	GO:0070233	positive regulation of t cell apoptotic process	GO:0070234
negative regulation of t cell costimulation	GO:2000524	positive regulation of t cell costimulation	GO:2000525
negative regulation of t cell cytokine production	GO:0002725	positive regulation of t cell cytokine production	GO:0002726
negative regulation of t cell differentiation in thymus	GO:0033085	positive regulation of t cell differentiation in thymus	GO:0033089
negative regulation of t cell differentiation	GO:0045581	positive regulation of t cell differentiation	GO:0045582
negative regulation of t cell extravasation	GO:2000408	positive regulation of t cell extravasation	GO:2000409
negative regulation of t cell homeostatic proliferation	GO:0046014	positive regulation of t cell homeostatic proliferation	GO:0042103
negative regulation of t cell mediated cytotoxicity directed against tumor cell target	GO:0002853	positive regulation of t cell mediated cytotoxicity directed against tumor cell target	GO:0002854
negative regulation of t cell mediated cytotoxicity	GO:0001915	positive regulation of t cell mediated cytotoxicity	GO:0001916
negative regulation of t cell mediated immune response to tumor cell	GO:0002841	positive regulation of t cell mediated immune response to tumor cell	GO:0002842
negative regulation of t cell mediated immunity	GO:0002710	positive regulation of t cell mediated immunity	GO:0002711
negative regulation of t cell migration	GO:2000405	positive regulation of t cell migration	GO:2000406
negative regulation of t cell proliferation	GO:0042130	positive regulation of t cell proliferation	GO:0042102
negative regulation of t cell receptor signaling pathway	GO:0050860	positive regulation of t cell receptor signaling pathway	GO:0050862
negative regulation of t cell tolerance induction to tumor cell	GO:0002847	positive regulation of t cell tolerance induction to tumor cell	GO:0002848
negative regulation of t cell tolerance induction	GO:0002665	positive regulation of t cell tolerance induction	GO:0002666
negative regulation of t-circle formation	GO:1904430	positive regulation of t-circle formation	GO:1904431
negative regulation of t-helper 1 cell activation	GO:2000518	positive regulation of t-helper 1 cell activation	GO:2000519
negative regulation of t-helper 1 cell cytokine production	GO:2000555	positive regulation of t-helper 1 cell cytokine production	GO:2000556
negative regulation of t-helper 1 cell differentiation	GO:0045626	positive regulation of t-helper 1 cell differentiation	GO:0045627
negative regulation of t-helper 1 type immune response	GO:0002826	positive regulation of t-helper 1 type immune response	GO:0002827
negative regulation of t-helper 17 cell differentiation	GO:2000320	positive regulation of t-helper 17 cell differentiation	GO:2000321
negative regulation of t-helper 17 cell extravasation	GO:2000456	positive regulation of t-helper 17 cell extravasation	GO:2000457
